"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 22 04:28:51 UTC 2024","Fri Mar 22 04:30:00 UTC 2024","69307","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Fri Mar 22 04:58:26 UTC 2024","Fri Mar 22 04:58:27 UTC 2024","1383","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Fri Mar 22 02:41:12 UTC 2024","Fri Mar 22 02:41:17 UTC 2024","5087","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Mar 22 03:28:09 UTC 2024","Fri Mar 22 03:29:23 UTC 2024","73535","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Fri Mar 22 04:58:05 UTC 2024","Fri Mar 22 04:58:26 UTC 2024","21031","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Fri Mar 22 03:17:34 UTC 2024","Fri Mar 22 03:17:35 UTC 2024","728","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Fri Mar 22 02:41:03 UTC 2024","Fri Mar 22 02:41:12 UTC 2024","8312","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Fri Mar 22 02:31:02 UTC 2024","Fri Mar 22 02:31:11 UTC 2024","8264","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Fri Mar 22 03:05:48 UTC 2024","Fri Mar 22 03:05:58 UTC 2024","10216","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Fri Mar 22 03:02:52 UTC 2024","Fri Mar 22 03:02:54 UTC 2024","1950","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Mar 22 03:16:53 UTC 2024","Fri Mar 22 03:17:19 UTC 2024","25756","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Fri Mar 22 03:02:38 UTC 2024","Fri Mar 22 03:02:41 UTC 2024","2612","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Mar 22 02:30:40 UTC 2024","Fri Mar 22 02:31:02 UTC 2024","22188","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Fri Mar 22 03:03:17 UTC 2024","Fri Mar 22 03:03:18 UTC 2024","378","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Mar 22 04:14:51 UTC 2024","Fri Mar 22 04:14:58 UTC 2024","6169","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Fri Mar 22 02:56:31 UTC 2024","Fri Mar 22 02:56:37 UTC 2024","6199","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Mar 22 04:12:35 UTC 2024","Fri Mar 22 04:12:44 UTC 2024","9807","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Fri Mar 22 02:38:57 UTC 2024","Fri Mar 22 02:39:05 UTC 2024","7714","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Fri Mar 22 02:59:01 UTC 2024","Fri Mar 22 02:59:58 UTC 2024","56392","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Fri Mar 22 03:02:00 UTC 2024","Fri Mar 22 03:02:15 UTC 2024","15841","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Mar 22 03:19:50 UTC 2024","Fri Mar 22 03:19:52 UTC 2024","2305","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Fri Mar 22 04:57:39 UTC 2024","Fri Mar 22 04:57:50 UTC 2024","11014","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Fri Mar 22 02:37:34 UTC 2024","Fri Mar 22 02:37:41 UTC 2024","7472","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Fri Mar 22 04:06:03 UTC 2024","Fri Mar 22 04:10:11 UTC 2024","248162","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Mar 22 02:29:49 UTC 2024","Fri Mar 22 02:30:05 UTC 2024","15588","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Mar 22 02:57:55 UTC 2024","Fri Mar 22 02:58:50 UTC 2024","54984","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Fri Mar 22 03:05:58 UTC 2024","Fri Mar 22 03:06:00 UTC 2024","2656","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Mar 22 02:30:05 UTC 2024","Fri Mar 22 02:30:13 UTC 2024","8627","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Fri Mar 22 03:21:55 UTC 2024","Fri Mar 22 03:21:56 UTC 2024","1122","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Fri Mar 22 03:02:16 UTC 2024","Fri Mar 22 03:02:23 UTC 2024","7384","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Fri Mar 22 02:58:59 UTC 2024","Fri Mar 22 02:59:01 UTC 2024","2399","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Mar 22 03:10:37 UTC 2024","Fri Mar 22 03:10:53 UTC 2024","16351","","9. Client Portal - Home","","","","1. Check links",""
"failed","Fri Mar 22 04:30:13 UTC 2024","Fri Mar 22 04:33:23 UTC 2024","190242","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Fri Mar 22 03:17:19 UTC 2024","Fri Mar 22 03:17:22 UTC 2024","2449","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Fri Mar 22 04:14:58 UTC 2024","Fri Mar 22 04:15:08 UTC 2024","9667","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Fri Mar 22 03:27:38 UTC 2024","Fri Mar 22 03:27:40 UTC 2024","2457","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Mar 22 04:12:44 UTC 2024","Fri Mar 22 04:12:47 UTC 2024","2394","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Fri Mar 22 04:05:47 UTC 2024","Fri Mar 22 04:06:02 UTC 2024","15394","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Fri Mar 22 02:42:51 UTC 2024","Fri Mar 22 02:42:54 UTC 2024","3205","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Mar 22 03:07:57 UTC 2024","Fri Mar 22 03:09:07 UTC 2024","69768","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Fri Mar 22 04:16:42 UTC 2024","Fri Mar 22 04:16:49 UTC 2024","7468","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri Mar 22 03:27:43 UTC 2024","Fri Mar 22 03:28:07 UTC 2024","24259","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Fri Mar 22 04:15:10 UTC 2024","Fri Mar 22 04:15:11 UTC 2024","978","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Fri Mar 22 03:05:30 UTC 2024","Fri Mar 22 03:05:35 UTC 2024","4273","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Fri Mar 22 02:33:10 UTC 2024","Fri Mar 22 02:33:29 UTC 2024","19216","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Fri Mar 22 03:03:14 UTC 2024","Fri Mar 22 03:03:17 UTC 2024","3668","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Mar 22 04:57:56 UTC 2024","Fri Mar 22 04:58:05 UTC 2024","9001","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Fri Mar 22 03:19:52 UTC 2024","Fri Mar 22 03:19:52 UTC 2024","321","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Fri Mar 22 02:57:49 UTC 2024","Fri Mar 22 02:57:55 UTC 2024","5868","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Mar 22 04:27:50 UTC 2024","Fri Mar 22 04:28:16 UTC 2024","25597","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Fri Mar 22 03:28:08 UTC 2024","Fri Mar 22 03:28:09 UTC 2024","1606","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
